"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"19/Oct/22 13:20" " 0:00:07" " 0:00:04" " 0:00:05" 0
"19/Oct/22 13:52" " 0:00:44" " 0:00:09" " 0:00:28" 0
"19/Oct/22 14:26" " 0:00:57" " 0:00:46" " 0:00:53" 0
"19/Oct/22 14:59" " 0:00:38" " 0:00:14" " 0:00:28" 0
"19/Oct/22 15:33" " 0:01:01" " 0:00:31" " 0:00:45" 0
"19/Oct/22 16:05" " 0:00:18" " 0:00:06" " 0:00:13" 0
"19/Oct/22 16:37" " 0:00:44" " 0:00:19" " 0:00:34" 0
"19/Oct/22 17:11" " 0:00:59" " 0:00:19" " 0:00:47" 0
"19/Oct/22 17:46" " 0:01:00" " 0:00:45" " 0:00:54" 0
"19/Oct/22 18:18" " 0:00:37" " 0:00:09" " 0:00:22" 0
"19/Oct/22 18:50" " 0:00:31" " 0:00:14" " 0:00:23" 0
"19/Oct/22 19:21" " 0:00:14" " 0:00:03" " 0:00:06" 0
"19/Oct/22 19:52" " 0:00:04" " 0:00:03" " 0:00:03" 0
"19/Oct/22 20:24" " 0:00:45" " 0:00:18" " 0:00:32" 0
"19/Oct/22 20:56" " 0:00:28" " 0:00:16" " 0:00:22" 0
"19/Oct/22 21:28" " 0:00:22" " 0:00:16" " 0:00:19" 0
"19/Oct/22 21:59" " 0:00:29" " 0:00:14" " 0:00:20" 0
"19/Oct/22 22:30" " 0:00:06" " 0:00:03" " 0:00:04" 0
"19/Oct/22 23:08" " 0:01:36" " 0:00:20" " 0:01:02" 1
"19/Oct/22 23:42" " 0:01:08" " 0:00:25" " 0:00:50" 0
"20/Oct/22 00:15" " 0:00:41" " 0:00:20" " 0:00:30" 0
"20/Oct/22 00:47" " 0:00:15" " 0:00:06" " 0:00:10" 0
"20/Oct/22 01:18" " 0:00:13" " 0:00:06" " 0:00:09" 0
"20/Oct/22 01:49" " 0:00:15" " 0:00:10" " 0:00:12" 0
"20/Oct/22 02:20" " 0:00:16" " 0:00:12" " 0:00:13" 0
"20/Oct/22 02:51" " 0:00:10" " 0:00:07" " 0:00:09" 0
"20/Oct/22 03:21" " 0:00:11" " 0:00:07" " 0:00:09" 0
"20/Oct/22 03:52" " 0:00:11" " 0:00:06" " 0:00:09" 0
"20/Oct/22 04:23" " 0:00:11" " 0:00:06" " 0:00:09" 0
"20/Oct/22 04:54" " 0:00:10" " 0:00:07" " 0:00:09" 0
"20/Oct/22 05:24" " 0:00:10" " 0:00:04" " 0:00:07" 0
"20/Oct/22 05:55" " 0:00:10" " 0:00:07" " 0:00:08" 0
"20/Oct/22 06:26" " 0:00:12" " 0:00:06" " 0:00:09" 0
"20/Oct/22 06:57" " 0:00:12" " 0:00:07" " 0:00:10" 0
"20/Oct/22 07:27" " 0:00:12" " 0:00:06" " 0:00:09" 0
"20/Oct/22 07:58" " 0:00:10" " 0:00:05" " 0:00:08" 0
"20/Oct/22 08:29" " 0:00:13" " 0:00:08" " 0:00:10" 0
"20/Oct/22 09:00" " 0:00:06" " 0:00:03" " 0:00:05" 0
"20/Oct/22 09:30" " 0:00:07" " 0:00:03" " 0:00:05" 0
"20/Oct/22 10:00" " 0:00:06" " 0:00:03" " 0:00:05" 0
"20/Oct/22 10:33" " 0:01:07" " 0:00:04" " 0:00:25" 0
"20/Oct/22 11:03" " 0:00:06" " 0:00:04" " 0:00:05" 0
"20/Oct/22 11:33" " 0:00:06" " 0:00:04" " 0:00:05" 0
"20/Oct/22 12:04" " 0:00:08" " 0:00:04" " 0:00:06" 0
"20/Oct/22 12:35" " 0:00:08" " 0:00:04" " 0:00:06" 0
"20/Oct/22 13:05" " 0:00:06" " 0:00:04" " 0:00:05" 0
"20/Oct/22 13:35" " 0:00:06" " 0:00:04" " 0:00:05" 0
"20/Oct/22 14:06" " 0:00:09" " 0:00:05" " 0:00:07" 0
"20/Oct/22 14:37" " 0:00:12" " 0:00:07" " 0:00:09" 0
"20/Oct/22 15:07" " 0:00:11" " 0:00:03" " 0:00:06" 0
