"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"19/Oct/22 13:26" " 0:01:16" " 0:00:44" " 0:00:56" 0
"19/Oct/22 14:00" " 0:00:45" " 0:00:42" " 0:00:43" 0
"19/Oct/22 14:34" " 0:00:50" " 0:00:40" " 0:00:45" 0
"19/Oct/22 15:09" " 0:01:42" " 0:00:37" " 0:01:04" 0
"19/Oct/22 15:46" " 0:01:56" " 0:01:19" " 0:01:39" 0
"19/Oct/22 16:27" " 0:02:32" " 0:01:46" " 0:02:02" 0
"19/Oct/22 17:07" " 0:02:22" " 0:01:32" " 0:02:02" 0
"19/Oct/22 17:48" " 0:02:29" " 0:00:56" " 0:01:53" 0
"19/Oct/22 18:27" " 0:02:23" " 0:01:21" " 0:01:52" 0
"19/Oct/22 19:06" " 0:02:20" " 0:01:37" " 0:01:47" 0
"19/Oct/22 19:43" " 0:02:21" " 0:01:00" " 0:01:22" 0
"19/Oct/22 20:22" " 0:02:28" " 0:01:43" " 0:01:58" 0
"19/Oct/22 21:00" " 0:01:39" " 0:01:00" " 0:01:18" 0
"19/Oct/22 21:36" " 0:01:46" " 0:00:49" " 0:01:10" 0
"19/Oct/22 22:13" " 0:01:41" " 0:01:19" " 0:01:27" 0
"19/Oct/22 22:50" " 0:01:54" " 0:01:12" " 0:01:25" 0
"19/Oct/22 23:28" " 0:01:41" " 0:01:11" " 0:01:20" 0
"20/Oct/22 00:02" " 0:00:43" " 0:00:37" " 0:00:40" 0
"20/Oct/22 00:35" " 0:00:41" " 0:00:39" " 0:00:40" 0
"20/Oct/22 01:09" " 0:00:58" " 0:00:37" " 0:00:44" 0
"20/Oct/22 01:42" " 0:00:38" " 0:00:36" " 0:00:37" 0
"20/Oct/22 02:15" " 0:00:38" " 0:00:36" " 0:00:37" 0
"20/Oct/22 02:48" " 0:00:39" " 0:00:35" " 0:00:37" 0
"20/Oct/22 03:22" " 0:00:40" " 0:00:36" " 0:00:38" 0
"20/Oct/22 03:55" " 0:00:38" " 0:00:36" " 0:00:37" 0
"20/Oct/22 04:28" " 0:00:37" " 0:00:36" " 0:00:36" 0
"20/Oct/22 05:01" " 0:00:38" " 0:00:36" " 0:00:37" 0
"20/Oct/22 05:34" " 0:00:38" " 0:00:36" " 0:00:37" 0
"20/Oct/22 06:07" " 0:00:39" " 0:00:36" " 0:00:38" 0
